sys userno topicid isum db dbcompact dbdistance crx cry cnx cny
vsb 33 40021 1 0.73404797194 97.6145813986 132.981201679 359 147 489 175
vse 14 40048 1 0.35308141494 87.1739351025 246.894714403 452 215 206 236
vse 07 40009 1 3.35001712046 119.290718201 35.6089876295 336 105 314 133
vse 19 40048 1 0.599088583142 103.357973751 172.525360455 501 121 340 183
vsn 20 40048 1 0.477366715714 106.739240332 223.600089445 534 104 313 138
vse 15 40009 1 1.34035320178 127.382926031 95.0368349641 420 157 326 171
vse 11 40009 1 1.48886121303 115.949697159 77.8781098898 451 117 380 149
vsn 33 40048 1 1.68837328915 82.7991756857 49.040799341 465 184 514 186
vse 11 40009 1 1.12418952532 110.239379925 98.0612053771 448 112 352 132
vse 20 40009 1 0.993904319132 80.0139275452 80.5046582503 435 146 355 155
vsn 05 40021 1 2.88917402551 124.268073603 43.0116263352 447 157 406 144
vse 11 40009 1 1.35522583333 102.281399531 75.4718490565 454 112 390 152
vsn 36 40021 1 0.791775179424 83.5426001367 105.51303237 603 123 501 150
vse 37 40048 0 0.318592413259 8.30787370719 26.0768096208 458 299 456 273
vse 30 40021 0 3.20624930664 16.0312465332 5.0 456 276 456 271
vsn 30 40009 1 0.742253546621 66.8728841765 90.0943949422 519 83 430 97
vsn 21 40009 1 1.04070107906 82.5375032887 79.3095202356 493 136 416 155
vse 31 40021 1 1.58612128133 94.2374975177 59.4138031101 300 141 343 182
vsn 33 40048 1 0.643840689561 74.3210828557 115.433963806 581 140 466 150
vse 20 40009 1 0.993904319132 80.0139275452 80.5046582503 435 146 355 155
vse 26 40021 1 1.09658462088 98.6987078277 90.0055553841 550 106 460 107
vsn 05 40021 1 1.79505344932 124.623775381 69.4262198308 449 166 397 120
vsn 16 40048 1 0.502796247384 102.205009774 203.273215156 529 102 331 148
vse 20 40009 1 0.993904319132 80.0139275452 80.5046582503 435 146 355 155
vse 37 40048 1 0.373045026044 96.7970976845 259.478322794 557 135 302 183
vsn 12 40009 0 1.15580991481 76.2484217905 65.9696900099 576 234 512 218
vsn 33 40048 1 1.66804494141 81.8022572636 49.040799341 462 174 511 176
vsn 18 40021 1 2.29563062627 114.044563621 49.6789693935 460 149 422 181
vsn 28 40021 1 1.20940808216 105.558534152 87.2811548961 395 134 308 127
vse 16 40009 1 1.88591509322 127.044065201 67.3646791724 434 220 367 213
vse 25 40009 1 0.72223032279 118.696526586 164.347193466 196 318 277 175
vse 11 40009 1 1.12418952532 110.239379925 98.0612053771 448 112 352 132
vse 37 40048 0 2.47212853227 75.3492448334 30.4795013083 446 206 423 226
vse 25 40009 0 0.917375916681 81.4193737119 88.7524647545 536 153 487 227
vse 11 40009 1 1.37041874034 120.409828852 87.863530546 435 126 349 144
vsn 32 40021 1 1.07302502782 84.8979137947 79.1201617794 448 105 524 83
vsn 03 40009 1 0.979913969689 85.9312479466 87.6926450736 539 133 452 144
vsn 20 40048 1 0.530809412941 104.355024605 196.596032513 543 83 348 108
vse 11 40009 1 1.56511359491 112.731645828 72.0277724215 433 112 361 114
vsn 35 40009 1 3.57643686653 71.2599997342 19.9248588452 445 189 439 208
vsn 33 40048 1 0.990353456508 75.7474740013 76.4852927039 566 136 491 121
vse 15 40009 1 1.97484679646 108.040545488 54.7083174664 398 129 351 157
vse 11 40009 1 1.35522583333 102.281399531 75.4718490565 454 112 390 152
vse 20 40009 1 0.616835915339 76.5920464095 124.169239347 436 146 313 163
vse 12 40021 1 2.9646705089 115.774084406 39.0512483795 366 155 391 185
vsn 20 40048 1 0.563410653236 106.151710609 188.40912929 541 101 354 124
vse 30 40021 0 0.780142705631 19.5035676408 25.0 457 266 457 241
vse 37 40048 1 0.424759592625 90.586394131 213.265093253 542 133 331 164
vse 23 40048 1 0.410372847177 111.671191216 272.121296484 592 172 331 95
vsn 20 40048 1 0.563410653236 106.151710609 188.40912929 541 101 354 124
