sys userno topicid top5 top10 inum
vsb 25 40021 1.0 1.0 1
vsb 26 40048 0.0 0.0 0
vsb 26 40048 0.0 0.0 0
vsb 26 40048 1.0 0.9 0
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 26 40048 1.0 1.0 1
vsb 27 40009 1.0 0.8 0
vsb 27 40009 0.8 0.9 1
vsb 27 40009 0.8 0.8 1
vsb 27 40009 0.8 0.8 1
vsb 27 40009 0.8 0.8 1
vsb 27 40009 0.8 0.8 1
vsb 27 40009 0.6 0.7 1
vsb 27 40009 0.6 0.8 1
vsb 27 40009 0.0 0.1 1
vsb 22 40048 1.0 0.9 0
vsb 22 40048 1.0 1.0 0
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 0.9 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 0.8 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 22 40048 1.0 1.0 1
vsb 28 40009 0.8 0.9 0
vsb 28 40009 0.8 0.9 0
vsb 28 40009 1.0 1.0 0
vsb 29 40021 1.0 1.0 0
vsb 29 40021 1.0 1.0 0
vsb 29 40021 0.4 0.5 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 29 40021 1.0 1.0 1
vsb 30 40048 1.0 1.0 0
vsb 30 40048 1.0 1.0 1
vsb 30 40048 1.0 1.0 1
vsb 30 40048 0.0 0.0 1
vsb 30 40048 0.0 0.0 1
vsb 30 40048 1.0 0.9 1
vsb 30 40048 1.0 1.0 1
vsb 30 40048 1.0 1.0 1
vsb 30 40048 1.0 1.0 1
vsb 30 40048 1.0 1.0 1
