"sys" "userno" "topicid" "qno" "noteno" "noteid" "docno" "p" "sysorder"
"180" "vsb" 6 40021 12 2 8543 "XIN20010117.2000.0179" 0 2
"181" "vsb" 6 40021 12 1 8542 "XIN20010117.2000.0179" 0 2
"182" "vsn" 6 40048 1 1 8533 "ZBN20001113.0400.0019" 1 1
"183" "vsn" 6 40048 1 7 8541 "ZBN20001113.0400.0019" 1 1
"184" "vsn" 6 40048 1 5 8538 "ZBN20001112.1300.0037" 1 1
"185" "vsn" 6 40048 3 3 8536 "ZBN20001112.1300.0037" 1 1
"186" "vsn" 6 40048 4 2 8535 "ZBN20001113.0400.0019" 1 1
"187" "vsn" 6 40048 4 6 8539 "ZBN20001112.1300.0037" 1 1
"188" "vsn" 6 40048 5 2 8535 "ZBN20001113.0400.0019" 1 1
"189" "vsn" 6 40048 6 4 8537 "ZBN20001112.1300.0037" 1 1
"190" "vsn" 6 40048 7 2 8535 "ZBN20001113.0400.0019" 1 1
"191" "vsn" 6 40048 7 6 8539 "ZBN20001112.1300.0037" 1 1
"192" "vsn" 6 40048 8 2 8535 "ZBN20001113.0400.0019" 1 1
"193" "vse" 7 40009 1 6 8362 "AFA20001109.1800.0150" 0 2
"194" "vse" 7 40009 2 5 8361 "XIN20001019.0200.0015" 1 2
"195" "vse" 7 40009 3 4 8360 "XIN20001014.1400.0087" 0.998718 2
"196" "vse" 7 40009 4 3 8359 "XIN20001014.1400.0087" 0 2
"197" "vse" 7 40009 5 2 8358 "APW20010117.0520.0259" 1 2
"198" "vse" 7 40009 6 1 8357 "AFA20001109.1800.0150" 0 2
"199" "vsb" 7 40021 1 2 8353 "XIN20010115.1400.0118" 0.841695 1
"200" "vsb" 7 40021 2 5 8356 "ZBN20010116.0400.0007" 0 1
"201" "vsb" 7 40021 3 4 8355 "XIN20010117.2000.0179" 1 1
"202" "vsb" 7 40021 4 4 8355 "XIN20010117.2000.0179" 1 1
"203" "vsb" 7 40021 5 3 8354 "XIN20010114.2000.0139" 0 1
"204" "vsb" 7 40021 6 1 8351 "APW20010114.1733.0443" 1 1
"205" "vsn" 7 40048 1 4 8368 "ZBN20001113.0400.0019" 0.546535 3
"206" "vsn" 7 40048 2 3 8367 "APW20001207.1122.0418" 0.72467 3
"207" "vsn" 7 40048 3 2 8365 "APW20001113.1340.0344" 1 3
"208" "vsn" 7 40048 6 1 8363 "ANN20001113.1500.0065" 1 3
"209" "vsn" 8 40009 1 4 8394 "AFA20001109.1800.0150" 0 2
"210" "vsn" 8 40009 2 3 8393 "XIN20001014.1400.0087" 1 2
"211" "vsn" 8 40009 3 4 8394 "AFA20001109.1800.0150" 0 2
"212" "vsn" 8 40009 5 2 8392 "XIN20001014.1400.0087" 1 2
"213" "vse" 8 40021 1 3 8387 "XIN20010115.2000.0144" 1 1
"214" "vse" 8 40021 2 3 8387 "XIN20010115.2000.0144" 1 1
"215" "vsb" 8 40048 1 6 8403 "APW20001112.1831.0439" 1 3
"216" "vsb" 8 40048 1 14 8411 "APW20001113.1340.0344" 1 3
"217" "vsb" 8 40048 1 13 8410 "NYT20001111.1525.0144" 1 3
"218" "vsb" 8 40048 2 7 8404 "APW20001112.1831.0439" 1 3
"219" "vsb" 8 40048 2 11 8408 "APW20001112.0900.0308" 1 3
"220" "vsb" 8 40048 3 4 8401 "XIN20001112.0200.0028" 1 3
"221" "vsb" 8 40048 3 10 8407 "APW20001112.0900.0308" 0 3
"222" "vsb" 8 40048 6 5 8402 "APW20001207.1122.0418" 1 3
"223" "vsb" 8 40048 7 1 8398 "APW20001112.1831.0439" 0 3
"224" "vsb" 8 40048 7 2 8399 "ZBN20001116.0400.0016" 1 3
"225" "vsb" 8 40048 7 8 8405 "APW20001112.0900.0308" 1 3
"226" "vsb" 8 40048 7 3 8400 "APW20001207.1122.0418" 1 3
"227" "vsb" 8 40048 7 9 8406 "APW20001112.0900.0308" 0.975 3
"228" "vsb" 9 40009 1 22 8470 "APW20010111.1817.0705" 1 2
"229" "vsb" 9 40009 1 24 8472 "XIN20001112.2000.0124" 0 2
"230" "vsb" 9 40009 2 3 8451 "ZBN20001030.0400.0009" 1 2
"231" "vsb" 9 40009 2 12 8460 "ALH20001020.1300.0093" 1 2
"232" "vsb" 9 40009 2 18 8466 "XIN20001110.1400.0088" 1 2
"233" "vsb" 9 40009 3 2 8450 "ZBN20001030.0400.0009" 1 2
"234" "vsb" 9 40009 3 19 8467 "XIN20001110.1400.0088" 1 2
"235" "vsb" 9 40009 3 23 8471 "APW20010111.1817.0705" 0 2
"236" "vsb" 9 40009 4 4 8452 "ZBN20001030.0400.0009" 1 2
"237" "vsb" 9 40009 4 3 8451 "ZBN20001030.0400.0009" 1 2
"238" "vsb" 9 40009 4 2 8450 "ZBN20001030.0400.0009" 1 2
"239" "vsb" 9 40009 4 24 8472 "XIN20001112.2000.0124" 0 2
"240" "vsb" 9 40009 5 3 8451 "ZBN20001030.0400.0009" 1 2
"241" "vsb" 9 40009 5 5 8453 "ZBN20001030.0400.0009" 0.00289855 2
"242" "vsb" 9 40009 5 13 8461 "ALH20001020.1300.0093" 1 2
"243" "vsb" 9 40009 5 19 8467 "XIN20001110.1400.0088" 1 2
"244" "vsb" 9 40009 6 1 8449 "ZBN20001030.0400.0009" 1 2
"245" "vsb" 9 40009 6 7 8455 "ZBN20001030.0400.0009" 1 2
"246" "vsb" 9 40009 6 8 8456 "AFA20001018.1800.0227" 1 2
"247" "vsb" 9 40009 6 9 8457 "AFA20001018.1800.0227" 1 2
"248" "vsb" 9 40009 6 11 8459 "AFA20001109.1800.0150" 0 2
"249" "vsb" 9 40009 6 13 8461 "ALH20001020.1300.0093" 1 2
"250" "vsb" 9 40009 6 19 8467 "XIN20001110.1400.0088" 1 2
"251" "vsb" 9 40009 6 20 8468 "APW20010111.1817.0705" 1 2
"252" "vsb" 9 40009 6 21 8469 "APW20010111.1817.0705" 0 2
"253" "vsb" 9 40009 6 23 8471 "APW20010111.1817.0705" 0 2
"254" "vsb" 9 40009 7 6 8454 "ZBN20001030.0400.0009" 1 2
"255" "vsb" 9 40009 7 7 8455 "ZBN20001030.0400.0009" 1 2
"256" "vsb" 9 40009 7 10 8458 "AFA20001109.1800.0150" 0 2
"257" "vsb" 9 40009 7 11 8459 "AFA20001109.1800.0150" 0 2
"258" "vsb" 9 40009 7 20 8468 "APW20010111.1817.0705" 1 2
