sys userno topicid action poitype
vse 26 40021 move_poi 1
vse 26 40021 move_poi 0
vse 26 40021 move_poi 1
vse 26 40021 move_poi 1
vse 26 40021 move_poi 1
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 1
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 26 40009 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 0
vsn 27 40021 move_poi 2
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 27 40048 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vse 22 40021 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 2
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 2
vsn 22 40009 move_poi 1
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vsn 22 40009 move_poi 0
vse 28 40048 move_poi 1
vse 28 40048 move_poi 0
vse 28 40048 move_poi 0
vse 28 40048 move_poi 0
vse 28 40048 move_poi 1
vse 28 40048 move_poi 1
vse 28 40048 move_poi 1
vse 28 40048 move_poi 1
vsn 28 40021 move_poi 2
vsn 28 40021 move_poi 2
vsn 28 40021 move_poi 2
vsn 28 40021 move_poi 1
vse 29 40009 move_poi 0
vse 29 40009 move_poi 1
vse 29 40009 move_poi 1
vse 29 40009 move_poi 1
vse 29 40009 move_poi 0
vse 29 40009 move_poi 0
vse 29 40009 move_poi 0
vse 29 40009 move_poi 0
vse 29 40009 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 1
vsn 29 40048 move_poi 1
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 29 40048 move_poi 0
vsn 30 40009 move_poi 0
