sys userno topicid qno noteno noteid docno prec
vse 09 40048 3 36 8508 ZBN20001112.1300.0037 1.0
vse 09 40048 3 38 8510 APW20001111.0851.0294 0.6859504132231405
vse 09 40048 3 39 8511 APW20001111.0851.0294 0.0
vse 09 40048 4 6 8478 NYT20001111.1525.0144 1.0
vse 09 40048 4 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 5 1 8473 NYT20001111.1525.0144 1.0
vse 09 40048 5 2 8474 NYT20001111.1525.0144 1.0
vse 09 40048 5 7 8479 NYT20001111.1525.0144 1.0
vse 09 40048 5 20 8492 CBS20001114.1000.0691 1.0
vse 09 40048 5 21 8493 CBS20001114.1000.0691 1.0
vse 09 40048 5 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 5 23 8495 APW20001111.0851.0294 1.0
vse 09 40048 5 31 8503 ZBN20001112.1300.0037 1.0
vse 09 40048 5 32 8504 ZBN20001112.1300.0037 0.0
vse 09 40048 6 9 8481 NYT20001111.1525.0144 1.0
vse 09 40048 6 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 6 24 8496 XIN20001111.0200.0012 1.0
vse 09 40048 6 29 8501 ZBN20001112.1300.0037 1.0
vse 09 40048 7 4 8476 NYT20001111.1525.0144 1.0
vse 09 40048 7 5 8477 NYT20001111.1525.0144 1.0
vse 09 40048 7 12 8484 APW20001111.1611.0427 1.0
vse 09 40048 7 15 8487 APW20001111.1611.0427 1.0
vse 09 40048 7 16 8488 APW20001111.1611.0427 1.0
vse 09 40048 7 17 8489 APW20001111.1611.0427 0.9933993399339934
vse 09 40048 7 18 8490 APW20001111.0851.0294 0.9161425576519916
vse 09 40048 7 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 7 23 8495 APW20001111.0851.0294 1.0
vse 09 40048 7 31 8503 ZBN20001112.1300.0037 1.0
vse 09 40048 7 32 8504 ZBN20001112.1300.0037 0.0
vse 09 40048 8 1 8473 NYT20001111.1525.0144 1.0
vse 09 40048 8 2 8474 NYT20001111.1525.0144 1.0
vse 09 40048 8 7 8479 NYT20001111.1525.0144 1.0
vse 09 40048 8 16 8488 APW20001111.1611.0427 1.0
vse 09 40048 8 18 8490 APW20001111.0851.0294 0.9161425576519916
vse 09 40048 8 20 8492 CBS20001114.1000.0691 1.0
vse 09 40048 8 21 8493 CBS20001114.1000.0691 1.0
vse 09 40048 8 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 8 23 8495 APW20001111.0851.0294 1.0
vse 09 40048 8 31 8503 ZBN20001112.1300.0037 1.0
vse 09 40048 8 32 8504 ZBN20001112.1300.0037 0.0
vsb 10 40009 1 8 8074 APW20001110.1844.0451 0.6744186046511628
vsb 10 40009 3 1 8067 VOA20001018.2100.2160 0.8337912087912088
vsb 10 40009 3 7 8073 VOA20001018.2100.2160 1.0
vsb 10 40009 4 6 8072 APW20001110.1844.0451 1.0
vsb 10 40009 5 5 8071 XIN20001014.1400.0087 0.0
vsb 10 40009 5 4 8070 XIN20001014.1400.0087 0.0
vsb 10 40009 7 2 8068 XIN20001029.2000.0106 0.9971264367816092
vsb 10 40009 7 3 8069 XIN20001014.1400.0087 0.0
vse 10 40048 1 5 8079 APW20001112.1831.0439 1.0
vse 10 40048 1 6 8080 APW20001112.1831.0448 1.0
vse 10 40048 1 7 8081 APW20001112.1831.0448 1.0
vse 10 40048 2 9 8083 ZBN20001112.1300.0037 0.0
vse 10 40048 2 10 8084 APW20001111.0851.0303 1.0
vse 10 40048 2 8 8082 APW20001111.0851.0294 1.0
vse 10 40048 3 4 8078 APW20001112.1831.0439 1.0
vse 10 40048 4 1 8075 APW20001112.1831.0439 1.0
vse 10 40048 6 3 8077 APW20001112.1831.0439 0.991869918699187
vse 10 40048 8 3 8077 APW20001112.1831.0439 0.991869918699187
vse 11 40009 1 15 8117 APW20001018.1350.0468 0.0
vse 11 40009 2 13 8115 VOA20001018.2100.2160 0.0
vse 11 40009 2 12 8114 VOA20001018.2100.2160 0.0
vse 11 40009 3 7 8109 ZBN20001030.0400.0009 0.2182410423452769
vse 11 40009 3 2 8104 VOA20001018.2100.2160 1.0
vse 11 40009 4 12 8114 VOA20001018.2100.2160 0.0
vse 11 40009 5 9 8111 VOA20001018.2100.2160 1.0
vse 11 40009 5 8 8110 VOA20001018.2100.2160 1.0
vse 11 40009 5 11 8113 VOA20001018.2100.2160 1.0
vse 11 40009 6 6 8108 ZBN20001030.0400.0009 1.0
vse 11 40009 7 5 8107 XIN20001110.1400.0088 1.0
vse 11 40009 7 4 8106 VOA20001224.0500.0524 1.0
vse 11 40009 7 1 8103 VOA20001018.2100.2160 1.0
vsb 11 40021 1 3 8134 AFA20010114.1000.0063 1.0
vsb 11 40021 1 14 8145 APW20010114.0543.0230 1.0
vsb 11 40021 2 3 8134 AFA20010114.1000.0063 1.0
vsb 11 40021 2 7 8138 ZBN20010115.0400.0014 1.0
vsb 11 40021 3 2 8133 AFA20010114.1000.0063 1.0
vsb 11 40021 3 6 8137 AFA20010114.1000.0063 0.9933774834437086
vsb 11 40021 3 7 8138 ZBN20010115.0400.0014 1.0
vsb 11 40021 4 2 8133 AFA20010114.1000.0063 1.0
vsb 11 40021 5 11 8142 APW20010115.2023.0562 0.9801980198019802
vsb 11 40021 6 10 8141 ZBN20010116.0400.0007 0.9942857142857143
vsb 11 40021 8 1 8132 AFA20010114.1000.0063 1.0
vsb 11 40021 9 9 8140 ZBN20010117.0400.0003 1.0
vsb 11 40021 10 1 8132 AFA20010114.1000.0063 1.0
vsb 11 40021 11 5 8136 AFA20010114.1000.0063 0.9933333333333333
vsb 11 40021 11 13 8144 APW20010114.0543.0230 0.6929824561403509
vsb 11 40021 11 4 8135 AFA20010114.1000.0063 1.0
vsb 11 40021 12 13 8144 APW20010114.0543.0230 0.6929824561403509
vsb 11 40021 12 5 8136 AFA20010114.1000.0063 0.9933333333333333
vsb 11 40021 12 4 8135 AFA20010114.1000.0063 1.0
vsn 11 40048 1 13 8131 CBS20001113.1000.0822 1.0
vsn 11 40048 1 12 8130 NYT20001112.1903.0110 0.9168949771689497
vsn 11 40048 2 12 8130 NYT20001112.1903.0110 0.9168949771689497
vsn 11 40048 2 3 8121 APW20001112.1831.0448 1.0
vsn 11 40048 3 10 8128 APW20001114.1245.0373 1.0
vsn 11 40048 4 8 8126 APW20001114.1245.0373 0.0
vsn 11 40048 4 9 8127 APW20001114.1245.0373 1.0
vsn 11 40048 5 2 8120 APW20001112.1831.0448 1.0
vsn 11 40048 6 6 8124 NYT20001111.1525.0144 1.0
vsn 11 40048 7 5 8123 NYT20001111.1525.0144 0.9302325581395349
vsn 11 40048 8 1 8119 APW20001112.1831.0448 1.0
vsn 13 40009 1 12 8648 APW20001016.1724.0512 1.0
vsn 13 40009 1 13 8649 VOA20001018.2100.0775 1.0
vsn 13 40009 2 2 8638 APW20001016.1724.0512 0.9921259842519685
vsn 13 40009 3 7 8643 VOA20001028.2100.0233 1.0
vsn 13 40009 3 6 8642 XIN20001029.2000.0106 0.997289972899729
