sys userno topicid action docs c1 c2 c3
vse 36 40048 automarquee 16 1 141 100
vse 36 40048 automarquee 9 218 124 100
vse 36 40048 automarquee 4 351 1 100
vse 36 40048 automarquee 12 351 1 100
vse 36 40048 automarquee 7 172 214 100
vse 36 40048 automarquee 5 169 212 100
vse 36 40048 automarquee 7 171 214 100
vse 36 40048 automarquee 8 496 264 100
vse 36 40048 automarquee 7 203 83 100
vse 36 40048 automarquee 10 204 86 100
vse 36 40048 automarquee 4 290 292 100
vse 37 40048 automarquee 67 459 1 100
vse 37 40048 automarquee 67 311 102 100
vse 37 40048 automarquee 35 214 399 100
vse 37 40048 automarquee 31 430 243 100
vse 37 40048 automarquee 15 311 41 100
vse 37 40048 automarquee 25 403 188 100
vse 37 40048 automarquee 15 208 371 100
vse 37 40048 automarquee 21 439 180 100
vse 37 40048 automarquee 19 439 176 100
vse 37 40048 automarquee 10 396 211 100
vse 37 40048 automarquee 13 300 0 100
vse 37 40048 automarquee 1 111 369 100
vse 37 40048 automarquee 13 499 180 100
vse 37 40048 automarquee 24 460 10 100
vse 37 40048 automarquee 25 568 165 100
vse 37 40048 automarquee 10 408 0 100
vse 37 40048 automarquee 3 323 314 100
vse 37 40048 automarquee 12 427 247 100
vse 37 40048 automarquee 12 278 210 100
vse 37 40048 automarquee 5 134 339 100
vse 37 40048 automarquee 13 438 149 100
vse 37 40048 automarquee 15 398 204 100
vse 37 40048 automarquee 12 620 156 100
vse 37 40048 automarquee 17 213 19 100
vse 37 40048 automarquee 7 101 320 100
vse 37 40048 automarquee 20 553 174 100
vsn 37 40021 automarquee 63 560 69 100
vsn 37 40021 automarquee 69 489 201 100
vsn 37 40021 automarquee 33 363 391 100
vsn 37 40021 automarquee 36 423 219 100
vsn 37 40021 automarquee 24 324 399 100
vsn 37 40021 automarquee 29 441 186 100
vsn 37 40021 automarquee 9 294 246 100
vsn 37 40021 automarquee 36 369 217 100
vsn 37 40021 automarquee 37 590 394 100
vsn 37 40021 automarquee 43 415 195 100
vsn 37 40021 automarquee 23 492 213 100
vsn 37 40021 automarquee 41 266 25 100
vsn 37 40021 automarquee 38 486 399 100
vsn 37 40021 automarquee 38 461 178 100
vsn 37 40021 automarquee 38 463 187 100
vsn 37 40021 automarquee 33 423 10 100
vsn 37 40021 automarquee 36 395 157 100
vse 31 40021 automarquee 50 195 0 100
vse 31 40021 automarquee 6 250 207 100
vse 31 40021 automarquee 46 304 122 100
vse 31 40021 automarquee 29 308 119 100
vse 31 40021 automarquee 32 472 7 100
vse 31 40021 automarquee 3 543 239 100
vse 31 40021 automarquee 4 579 238 100
vse 31 40021 automarquee 4 467 302 100
vse 31 40021 automarquee 35 397 219 100
vse 31 40021 automarquee 7 531 311 100
vse 31 40021 automarquee 3 600 274 100
vse 31 40021 automarquee 1 662 333 100
vse 31 40021 automarquee 1 662 332 100
vse 31 40021 automarquee 1 662 332 100
vse 31 40021 automarquee 2 590 294 100
vse 31 40021 automarquee 27 611 190 100
vse 31 40021 automarquee 25 115 216 100
vse 31 40021 automarquee 30 229 182 100
vse 31 40021 automarquee 25 231 180 100
vse 31 40021 automarquee 5 154 217 100
vse 31 40021 automarquee 41 192 242 100
vse 31 40021 automarquee 20 267 244 100
vse 31 40021 automarquee 21 265 243 100
vse 31 40021 automarquee 1 266 242 81
vse 31 40021 automarquee 12 319 3 81
vse 31 40021 automarquee 2 203 217 81
vse 31 40021 automarquee 20 293 226 87
vse 31 40021 automarquee 1 146 253 87
vse 31 40021 automarquee 28 308 151 87
vse 31 40021 automarquee 17 128 236 87
vse 31 40021 automarquee 21 155 244 87
vse 31 40021 automarquee 33 137 160 87
vse 31 40021 automarquee 47 160 197 105
vse 31 40021 automarquee 47 156 211 105
vse 31 40021 automarquee 21 127 200 80
vse 31 40021 automarquee 41 126 216 80
vse 31 40021 automarquee 18 423 3 80
vse 31 40021 automarquee 8 218 213 80
vse 31 40021 automarquee 1 185 242 80
vse 31 40021 automarquee 19 339 20 80
vse 31 40021 automarquee 3 201 271 80
vse 31 40021 automarquee 3 179 277 80
vse 31 40021 automarquee 0 449 286 80
vse 31 40021 automarquee 28 315 216 80
vse 31 40021 automarquee 30 378 10 80
vse 31 40021 automarquee 2 197 155 80
vse 31 40021 automarquee 11 378 207 80
vse 31 40021 automarquee 22 494 324 80
vse 31 40021 automarquee 22 530 326 80
vse 31 40021 automarquee 13 257 240 80
vsn 31 40009 automarquee 8 468 8 100
vsn 31 40009 automarquee 10 14 50 100
vsn 31 40009 automarquee 20 314 201 100
vsn 31 40009 automarquee 9 338 7 100
vsn 31 40009 automarquee 23 158 39 100
vsn 31 40009 automarquee 9 220 411 100
vsn 31 40009 automarquee 32 186 80 100
vsn 31 40009 automarquee 0 755 347 100
vsn 31 40009 automarquee 5 362 295 100
vsn 31 40009 automarquee 4 198 405 100
vsn 31 40009 automarquee 3 293 246 100
vsn 31 40009 automarquee 3 279 270 100
vsn 31 40009 automarquee 45 300 238 100
vsn 31 40009 automarquee 11 359 283 100
vsn 31 40009 automarquee 10 476 207 100
vsn 31 40009 automarquee 32 423 291 100
vsn 31 40009 automarquee 45 352 292 100
vsn 31 40009 automarquee 12 500 12 100
vsn 31 40009 automarquee 22 162 306 100
vsn 31 40009 automarquee 32 184 231 100
vsn 31 40009 automarquee 20 411 6 100
vsn 31 40009 automarquee 19 367 228 100
vsn 31 40009 automarquee 1 237 247 100
vsn 31 40009 automarquee 10 363 214 100
vsn 31 40009 automarquee 2 255 250 100
vsn 31 40009 automarquee 53 291 226 100
vsn 31 40009 automarquee 55 288 237 112
vsn 31 40009 automarquee 25 383 223 112
vsn 31 40009 automarquee 45 570 78 112
vsn 31 40009 automarquee 32 368 218 112
vsn 31 40009 automarquee 47 368 218 139
vsn 31 40009 automarquee 24 299 408 100
vsn 31 40009 automarquee 24 206 166 100
vsn 31 40009 automarquee 24 225 148 100
