sys userno topicid top5 top10 inum
vse 05 40048 -1 0.8 1
vse 05 40048 -1 1.0 1
vsn 05 40021 -1 1.0 0
vsn 05 40021 -1 1.0 0
vsn 05 40021 -1 1.0 1
vsn 05 40021 -1 1.0 1
vsn 05 40021 -1 1.0 1
vse 07 40009 -1 0.3 0
vse 07 40009 -1 0.8 0
vse 07 40009 -1 0.9 0
vse 07 40009 -1 0.6 1
vse 07 40009 -1 0.6 1
vse 07 40009 -1 0.6 1
vse 07 40009 -1 0.8 1
vse 07 40009 -1 0.7 1
vsn 07 40048 -1 1.0 0
vsn 07 40048 -1 1.0 0
vsn 07 40048 -1 1.0 0
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vsn 07 40048 -1 1.0 1
vse 08 40021 -1 1.0 0
vse 08 40021 -1 1.0 0
vse 08 40021 -1 1.0 1
vse 08 40021 -1 1.0 1
vse 08 40021 -1 1.0 1
vse 08 40021 -1 1.0 1
vse 08 40021 -1 1.0 1
vse 08 40021 -1 1.0 1
vsn 08 40009 -1 0.6 0
vsn 08 40009 -1 0.7 0
vsn 08 40009 -1 0.9 1
vsn 08 40009 -1 0.9 1
vsn 08 40009 -1 0.9 1
vsn 08 40009 -1 0.9 1
vsn 08 40009 -1 0.9 1
vsn 09 40021 -1 0 0
vsn 09 40021 -1 1.0 0
vsn 09 40021 -1 1.0 0
vsn 09 40021 -1 1.0 1
vsn 09 40021 -1 1.0 1
vsn 09 40021 -1 0.8 1
vsn 09 40021 -1 0.8 1
vsn 09 40021 -1 0.7 1
vsn 09 40021 -1 0.1 1
vsn 09 40021 -1 1.0 1
vsn 09 40021 -1 1.0 1
vsn 09 40021 -1 1.0 1
vse 09 40048 -1 1.0 0
vse 09 40048 -1 1.0 0
vse 09 40048 -1 1.0 1
vse 09 40048 -1 1.0 1
vse 09 40048 -1 0.8 1
vse 09 40048 -1 1.0 1
vse 09 40048 -1 1.0 1
vsn 06 40048 -1 1.0 0
vsn 06 40048 -1 1.0 0
vsn 06 40048 -1 1.0 0
vsn 06 40048 -1 1.0 1
vsn 06 40048 -1 1.0 1
vsn 06 40048 -1 1.0 1
vsn 06 40048 -1 1.0 1
vsn 06 40048 -1 1.0 1
vse 06 40009 -1 0.8 0
vse 06 40009 -1 0.9 0
vse 06 40009 -1 0.9 1
vse 06 40009 -1 0.9 1
vse 13 40021 -1 1.0 0
vse 13 40021 -1 1.0 0
vse 13 40021 -1 0.2 0
vse 13 40021 -1 0.9 0
vse 13 40021 -1 1.0 0
vse 13 40021 -1 1.0 0
vse 13 40021 -1 1.0 1
vsn 13 40009 -1 0.8 0
vsn 13 40009 -1 1.0 0
vsn 13 40009 -1 0.9 1
vse 14 40048 -1 0.1 0
vse 14 40048 -1 1.0 0
vse 14 40048 -1 1.0 0
vse 14 40048 -1 1.0 0
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vse 14 40048 -1 1.0 1
vsn 14 40021 -1 1.0 0
vsn 14 40021 -1 1.0 0
vsn 14 40021 -1 1.0 0
vsn 14 40021 -1 1.0 1
vsn 14 40021 -1 0.9 1
vsn 14 40021 -1 0.9 1
vsn 14 40021 -1 0.9 1
vsn 14 40021 -1 0.9 1
vsn 14 40021 -1 1.0 1
vsn 14 40021 -1 1.0 1
vsn 14 40021 -1 1.0 1
vsn 14 40021 -1 1.0 1
vsn 14 40021 -1 1.0 1
vsn 15 40048 -1 1.0 0
vsn 15 40048 -1 1.0 0
vsn 15 40048 -1 1.0 1
vsn 15 40048 -1 1.0 1
vsn 15 40048 -1 1.0 1
vse 15 40009 -1 0.8 0
vse 15 40009 -1 0.9 0
vse 15 40009 -1 1.0 0
vse 15 40009 -1 0.9 1
vse 15 40009 -1 0.8 1
vse 15 40009 -1 0.8 1
vse 15 40009 -1 0.8 1
vse 15 40009 -1 0.9 1
vse 15 40009 -1 0.9 1
vse 15 40009 -1 0.9 1
vse 15 40009 -1 0.8 1
vse 16 40009 -1 1.0 0
vse 16 40009 -1 1.0 0
vse 16 40009 -1 1.0 1
vse 16 40009 -1 1.0 1
vse 16 40009 -1 1.0 1
vsn 16 40048 -1 1.0 0
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vsn 16 40048 -1 1.0 1
vse 17 40021 -1 1.0 0
vse 17 40021 -1 1.0 0
vse 17 40021 -1 0.2 0
vse 17 40021 -1 1.0 0
vse 17 40021 -1 1.0 0
vse 17 40021 -1 1.0 1
vse 17 40021 -1 1.0 1
vse 17 40021 -1 1.0 1
vse 17 40021 -1 1.0 1
vse 17 40021 -1 1.0 1
vsn 17 40009 -1 0.0 0
vsn 17 40009 -1 0.0 0
vsn 17 40009 -1 1.0 0
vsn 17 40009 -1 1.0 0
vsn 17 40009 -1 1.0 1
vsn 17 40009 -1 1.0 1
vsn 17 40009 -1 1.0 1
vsn 17 40009 -1 1.0 1
vsn 17 40009 -1 0.9 1
vsn 17 40009 -1 1.0 1
vsn 17 40009 -1 1.0 1
vsn 18 40021 -1 1.0 0
vsn 18 40021 -1 1.0 0
vsn 18 40021 -1 1.0 1
vsn 18 40021 -1 1.0 1
vsn 18 40021 -1 1.0 1
vse 18 40048 -1 1.0 0
vse 18 40048 -1 1.0 0
vse 18 40048 -1 1.0 1
vse 18 40048 -1 1.0 1
vse 19 40048 -1 1.0 0
vse 19 40048 -1 1.0 0
vse 19 40048 -1 1.0 1
vse 19 40048 -1 1.0 1
vse 19 40048 -1 1.0 1
vse 19 40048 -1 1.0 1
vse 19 40048 -1 1.0 1
vsn 19 40021 -1 1.0 0
vsn 19 40021 -1 1.0 0
vsn 19 40021 -1 1.0 0
vsn 19 40021 -1 1.0 0
vsn 19 40021 -1 1.0 0
vsn 19 40021 -1 1.0 1
vsn 19 40021 -1 1.0 1
vsn 19 40021 -1 1.0 1
vsn 19 40021 -1 0.4 1
vsn 21 40009 -1 0.7 0
vsn 21 40009 -1 0.9 0
vsn 21 40009 -1 1.0 1
vsn 21 40009 -1 1.0 1
vsn 21 40009 -1 1.0 1
vsn 21 40009 -1 0.9 1
vsn 21 40009 -1 0.9 1
vse 21 40021 -1 1.0 0
vse 21 40021 -1 1.0 0
vse 21 40021 -1 1.0 1
vse 21 40021 -1 1.0 1
vse 21 40021 -1 1.0 1
vse 21 40021 -1 1.0 1
vsn 12 40009 -1 1.0 0
vsn 12 40009 -1 0.8 0
vsn 12 40009 -1 0.5 0
vsn 12 40009 -1 1.0 0
vsn 12 40009 -1 1.0 1
vsn 12 40009 -1 0.8 1
vsn 12 40009 -1 0.8 1
vsn 12 40009 -1 1.0 1
vsn 12 40009 -1 1.0 1
vsn 12 40009 -1 0.8 1
vsn 12 40009 -1 1.0 1
vsn 12 40009 -1 0.8 1
vsn 12 40009 -1 0.5 1
vsn 12 40009 -1 0.7 1
vsn 12 40009 -1 0.9 1
vsn 12 40009 -1 0.9 1
vsn 12 40009 -1 0.7 1
vse 12 40021 -1 1.0 0
vse 12 40021 -1 1.0 0
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vse 12 40021 -1 1.0 1
vsn 01 40021 -1 0 0
vsn 01 40021 -1 1.0 0
vsn 01 40021 -1 1.0 0
vsn 01 40021 -1 1.0 0
vsn 01 40021 -1 1.0 1
vse 23 40048 -1 0.9 0
vse 23 40048 -1 0.9 0
vse 23 40048 -1 1.0 0
vse 23 40048 -1 1.0 0
vse 23 40048 -1 1.0 1
vse 23 40048 -1 1.0 1
vse 23 40048 -1 1.0 1
vse 23 40048 -1 1.0 1
vse 23 40048 -1 1.0 1
vse 23 40048 -1 1.0 1
vsn 23 40021 -1 1.0 0
vsn 23 40021 -1 1.0 0
vsn 23 40021 -1 0.9 1
vsn 23 40021 -1 1.0 1
vsn 23 40021 -1 1.0 1
