sys userno topicid top5 top10 inum avgx ratiox
vse 07 40009 -1 0.6 1 374.7 0.522517730496
vse 07 40009 -1 0.8 1 378.5 0.498330550918
vse 07 40009 -1 0.7 1 369.0 0.497418244406
vsn 07 40048 -1 1.0 0 424.8 0.405454545455
vsn 07 40048 -1 1.0 0 419.6 0.372727272727
vsn 07 40048 -1 1.0 0 205.4 0.239770554493
vsn 07 40048 -1 1.0 1 351.4 0.437741935484
vsn 07 40048 -1 1.0 1 361.1 0.453387096774
vsn 07 40048 -1 1.0 1 414.8 0.56268907563
vsn 07 40048 -1 1.0 1 490.5 0.667479674797
vsn 07 40048 -1 1.0 1 427.5 0.561389337641
vsn 07 40048 -1 1.0 1 414.8 0.56268907563
vsn 07 40048 -1 1.0 1 429.7 0.599828473413
vsn 07 40048 -1 1.0 1 431.9 0.591428571429
vsn 07 40048 -1 1.0 1 466.8 0.624878836834
vse 08 40021 -1 1.0 0 428.6 0.404195804196
vse 08 40021 -1 1.0 0 212.4 0.239855072464
vse 08 40021 -1 1.0 1 198.2 0.203442340792
vse 08 40021 -1 1.0 1 227.1 0.265523465704
vse 08 40021 -1 1.0 1 250.7 0.308122743682
vse 08 40021 -1 1.0 1 228.0 0.278195488722
vse 08 40021 -1 1.0 1 247.3 0.291972076789
vse 08 40021 -1 1.0 1 249.7 0.293598615917
vsn 08 40009 -1 0.6 0 470.0 0.283333333333
vsn 08 40009 -1 0.7 0 233.1 0.391560102302
vsn 08 40009 -1 0.9 1 546.4 0.743859649123
vsn 08 40009 -1 0.9 1 532.2 0.730533117932
vsn 08 40009 -1 0.9 1 523.2 0.724183006536
vsn 08 40009 -1 0.9 1 525.8 0.738079470199
vsn 08 40009 -1 0.9 1 542.9 0.738277511962
vsn 09 40021 -1 0 0 -1 -1
vsn 09 40021 -1 1.0 0 487.8 0.611188811189
vsn 09 40021 -1 1.0 0 530.2 0.696904024768
vsn 09 40021 -1 1.0 1 450.3 0.612066115702
vsn 09 40021 -1 1.0 1 444.2 0.618336162988
vsn 09 40021 -1 0.8 1 596.4 0.794461538462
vsn 09 40021 -1 0.8 1 593.7 0.79274691358
vsn 09 40021 -1 0.7 1 575.9 0.764098613251
vsn 09 40021 -1 0.1 1 659.2 0.90641627543
vsn 09 40021 -1 1.0 1 494.2 0.674592833876
vsn 09 40021 -1 1.0 1 585.5 0.797318611987
vsn 09 40021 -1 1.0 1 477.7 0.647719869707
vse 09 40048 -1 1.0 0 472.3 0.549393939394
vse 09 40048 -1 1.0 0 463.0 0.691335740072
vse 09 40048 -1 1.0 1 560.7 0.753448275862
vse 09 40048 -1 1.0 1 503.3 0.728571428571
vse 09 40048 -1 0.8 1 616.9 0.83499222395
vse 09 40048 -1 1.0 1 546.7 0.771404958678
vse 09 40048 -1 1.0 1 621.7 0.854416403785
vsn 06 40048 -1 1.0 0 485.4 0.589090909091
vsn 06 40048 -1 1.0 0 488.3 0.603525641026
vsn 06 40048 -1 1.0 0 369.0 0.469155844156
vsn 06 40048 -1 1.0 1 499.0 0.674718196457
vsn 06 40048 -1 1.0 1 484.2 0.644657097289
vsn 06 40048 -1 1.0 1 484.3 0.643789808917
vsn 06 40048 -1 1.0 1 628.1 0.855070202808
vsn 06 40048 -1 1.0 1 627.2 0.856338028169
vse 06 40009 -1 0.8 0 358.8 0.205454545455
vse 06 40009 -1 0.9 0 447.0 0.597719869707
vse 06 40009 -1 0.9 1 480.7 0.645249597424
vse 06 40009 -1 0.9 1 473.8 0.645573770492
vse 13 40021 -1 1.0 0 531.5 0.646245059289
vse 13 40021 -1 1.0 0 447.3 0.409183673469
vse 13 40021 -1 0.2 0 455.0 0.0
vse 13 40021 -1 0.9 0 456.5 0.3
vse 13 40021 -1 1.0 0 428.6 0.404195804196
vse 13 40021 -1 1.0 0 375.9 0.47344
vse 13 40021 -1 1.0 1 383.5 0.480982567353
vsn 13 40009 -1 0.8 0 502.9 0.642121212121
vsn 13 40009 -1 1.0 0 675.0 0.937007874016
vsn 13 40009 -1 0.9 1 682.9 0.928967642527
vse 14 40048 -1 0.1 0 487.1 0.506324110672
vse 14 40048 -1 1.0 0 526.5 0.698943661972
vse 14 40048 -1 1.0 0 532.0 0.714285714286
vse 14 40048 -1 1.0 0 225.8 0.312875536481
vse 14 40048 -1 1.0 1 418.3 0.645610687023
vse 14 40048 -1 1.0 1 425.8 0.646355140187
vse 14 40048 -1 1.0 1 426.7 0.579765886288
vse 14 40048 -1 1.0 1 426.7 0.579765886288
vse 14 40048 -1 1.0 1 426.7 0.579765886288
vse 14 40048 -1 1.0 1 519.3 0.74331641286
vse 14 40048 -1 1.0 1 502.8 0.727710843373
vse 14 40048 -1 1.0 1 540.2 0.778680203046
vsn 14 40021 -1 1.0 0 515.8 0.613654618474
vsn 14 40021 -1 1.0 0 569.0 0.851612903226
vsn 14 40021 -1 1.0 0 387.4 0.507260726073
vsn 14 40021 -1 1.0 1 463.8 0.616051364366
vsn 14 40021 -1 0.9 1 471.2 0.646611570248
vsn 14 40021 -1 0.9 1 478.1 0.658016528926
vsn 14 40021 -1 0.9 1 478.1 0.658016528926
vsn 14 40021 -1 0.9 1 496.0 0.65306122449
vsn 14 40021 -1 1.0 1 477.9 0.62464678179
vsn 14 40021 -1 1.0 1 507.2 0.670643642072
vsn 14 40021 -1 1.0 1 506.8 0.674249605055
vsn 14 40021 -1 1.0 1 490.3 0.639096573209
vsn 14 40021 -1 1.0 1 504.8 0.665830721003
vsn 15 40048 -1 1.0 0 470.5 0.546474358974
vsn 15 40048 -1 1.0 0 195.2 0.252078774617
vsn 15 40048 -1 1.0 1 217.5 0.330528846154
vsn 15 40048 -1 1.0 1 217.5 0.330528846154
vsn 15 40048 -1 1.0 1 406.6 0.557337883959
vse 15 40009 -1 0.8 0 453.6 0.483501683502
vse 15 40009 -1 0.9 0 357.4 0.188196721311
vse 15 40009 -1 1.0 0 417.9 0.642395437262
vse 15 40009 -1 0.9 1 512.3 0.709852216749
vse 15 40009 -1 0.8 1 385.6 0.517966101695
vse 15 40009 -1 0.8 1 385.6 0.517966101695
vse 15 40009 -1 0.8 1 384.1 0.527036395147
vse 15 40009 -1 0.9 1 429.3 0.5910321489
vse 15 40009 -1 0.9 1 428.2 0.582274247492
vse 15 40009 -1 0.9 1 428.2 0.582274247492
vse 15 40009 -1 0.8 1 387.5 0.53664921466
vse 16 40009 -1 1.0 0 545.6 0.764375
vse 16 40009 -1 1.0 0 416.3 0.548613376835
vse 16 40009 -1 1.0 1 426.2 0.563843648208
vse 16 40009 -1 1.0 1 408.3 0.534690553746
vse 16 40009 -1 1.0 1 437.4 0.663079777365
vsn 16 40048 -1 1.0 0 477.9 0.566363636364
vsn 16 40048 -1 1.0 1 540.8 0.72
vsn 16 40048 -1 1.0 1 540.8 0.72
vsn 16 40048 -1 1.0 1 537.1 0.722116903633
vsn 16 40048 -1 1.0 1 543.7 0.732543443918
